"HSMP_INNB","PNU","LNNO_ADRES","POTVALE_IFRA_HSMP_NM","DONG_CNT","NMHSH","USE_APRV_YMD","DRTS_CASCNT","BKAG_CASCNT","DRTS_RATE","BKAG_RATE","PCPP","OLYR_PCPP","SMLYC_PCPP"
"31140100017052","3114010400107130001","울산광역시 남구 신정동 713-1","운포",1,40,"1979-02-14",1,0,1,0,8000000,8157894.736842,
"31140100017066","3114010400108990001","울산광역시 남구 신정동 899-1","한라무지개",1,229,"1993-12-29",0,1,0,1,8055555.555556,7841346.153846,
"31140100017067","3114010400108720055","울산광역시 남구 신정동 872-55","한라백조",2,285,"1993-05-14",0,1,0,1,9176470.588235,8173579.688286,8269230.769231
"31140100017068","3114010400118460001","울산광역시 남구 신정동 1846-1","한라파크",2,80,"1984-06-30",0,1,0,1,13461538.461538,13461538.461538,
"31140100017071","3114010400116110001","울산광역시 남구 신정동 1611-1","한일",2,160,"1985-12-16",0,1,0,1,19882352.941176,20964052.287582,
"31140100017072","3114010400114180001","울산광역시 남구 신정동 1418-1","해원맨션",2,99,"1983-09-20",1,0,1,0,17142857.142857,11607142.857143,
"31140100017073","3114010400116340000","울산광역시 남구 신정동 1634","대공원I'PARK(1단지)",3,252,"1994-12-28",0,2,0,1,21831196.581197,17999167.499167,15555555.555556
"31140100017074","3114010800105940037","울산광역시 남구 야음동 594-37","신정현대홈타운1",6,1085,"1999-11-27",0,10,0,1,15117460.31746,14725548.201798,14218136.446886
"31140100017075","3114010800105940010","울산광역시 남구 야음동 594-10","신정현대홈타운2",9,1420,"1999-11-27",0,10,0,1,14762948.717949,14388280.484947,15444444.444444
"31140100017081","3114010500107750006","울산광역시 남구 달동 775-6","어울림",3,478,"1999-01-19",0,4,0,1,14795454.545455,14300581.061451,
"31140100017082","3114010500107580000","울산광역시 남구 달동 758","달동삼성2",3,328,"1997-02-06",0,2,0,1,13101449.275362,12008895.392048,10434782.608696
"31140100017091","3114010500113300001","울산광역시 남구 달동 1330-1","삼산선경",6,828,"1991-12-24",0,9,0,1,11813604.270126,11705278.819409,11954545.454545
"31140100017092","3114010500108090001","울산광역시 남구 달동 809-1","달동SKVIEW",6,454,"1999-04-06",0,6,0,1,17194924.43949,16342815.771601,17006038.647343
"31140100017096","3114010500101180003","울산광역시 남구 달동 118-3","달동주공1단지",10,948,"1993-11-16",0,4,0,1,11507211.538462,12386417.055167,12145192.307692
"31140100017105","3114010600115290001","울산광역시 남구 삼산동 1529-1","벽산강변타운",4,608,"1998-11-20",0,7,0,1,12484737.484737,12155799.682068,12432134.894091
"31140100017106","3114010600114610003","울산광역시 남구 삼산동 1461-3","삼신현대",7,690,"1991-05-24",0,2,0,1,13826007.326007,11952152.014652,13333333.333333
"31140100017107","3114010600101720001","울산광역시 남구 삼산동 172-1","세양청구마을",12,1562,"1997-12-10",1,12,0.076923,0.923077,12963510.848126,12064452.7148,12084615.384615
"31140100017108","3114010600114610001","울산광역시 남구 삼산동 1461-1","우성",5,494,"1991-05-20",0,2,0,1,13076923.076923,12741797.074876,12512820.512821
